S/No,Gloss,Jenjo,Munga Dosso,Tha,Kyãk,Moo,Lelau,Mak,Maghdi,Loo,Burak
84,fire,d͡zwɑ̀,ɗwɑ̄ː,ɥɑ̀,ɗwɑ̀,ɥɑ̀,lwɑ̀,lwɑ́,lwâ,lwɑ̀,lwɑ̀
85,fish,j̥ɨ̀ŋ,ɥ̥ɨ̀ŋ,θìŋ,θɨ́ŋ,sɨ́ŋ,θɨ́ŋ,seí,ʃəī,t͡ʃē,ʃíjɛ̀
86,five,m̥mɨ̀,nə̀ ɥ̥ĩ̀,nə̀nù,nùɲúŋ,ɲǔ,nû,núwə́b,núwōp,nôb,nɔ̂b
87,float,pɑ́,pə̀m,wíkòmɨ̀ŋ,lòmúŋ,lwēŋlô,lòmûŋ,lómwì,tòl lǒ,lwê,ləúnɑ̀lòmɛ̌
88,flow,sē,zē,ʒì,zɛ̄l,nɑ̀pʰin,cə̀l,cɑ́l,fɑ́nɛ̄,jɑ̀k,ʃí (lí)
89,flower,fɨ́ŋlɨ́,fɨ̀ŋ(ɾɨ̀),fɨ̄,vɨ̀n,vìnú,vɨ̀n,vɨ́nɨ̀ (kə̀p),vìnlɛ̌,bɨ̀lèlé,bìlē
90,fly,jā,jɑ̀,wíjè,wúɾéjɨ́ŋ,wùrínjí,ɨ́ɾɨ̄jí,wùɾɑ̀,wílí,wùɾɨ́,wúrí (nɑ̄)
91,fog,tə̀búd͡ʒɨ̀ŋ,bùt͡sûŋ,dúlé,bɨ̀vɨ́ŋ,zɨ̀nɗɨ̀ɾ,kùɣɑ̀m,kwə̀xə̀m,kɔ́kɔ̀m,kɔ̄m,kɔ̄m
92,food,nɨ̀ŋtə́ŋ,nɨ̀ŋtə̀ŋ,nɨ̀ŋtə̀ŋ,nùŋtə́ŋ,nɨ̀ŋtə́ŋ,nùŋtə́ŋ,núŋtə́ŋ,nūŋtə̀ŋ(ɛ̀),nùŋtə́ŋ(ə́),nūŋtə́ŋ(ɛ̄)
93,foot,pū,bù,bò,ɓúk,bò,bò,bō,vò̤,vō,vō̤
94,four,ɲə̀,nə́ɲə̀,nə̀ɲə̀,nɛ̄,nɛ̂,nəì,nēt,nə̀ɾ,nēːt,nɛ̤̄t
95,front,t͡ʃí,t͡ʃì,cì,sílɛ̄,sí,θɑ̌ʃí,sí,tí,tí,tî
96,fruit,t͡ʃílɨ́,t͡ʃì(ɾɨ̀kə̀),cìkə̀nɨ̀ŋ,sǐw,sí(kə̀p),sì (kə̀p),súɾ (kə̀p),ʃwíɾí,túɾí,túɾí
97,full,jɨ̀lə̂,jɨ̀lə̀,jí,jɨ̀lɨ̀ŋ,jɨ̂ŋ,jìθə̀,jìdə́,jì̤̀nî,jí,ɓɔ́t
98,give,tə̀,də̀,ɗə̀,dɛ̄,dɨ̄,də̀,ə̀,ɛ̄,fɑ́,fɔ́(lɛ́)
99,go,tə́,tə̀,ɗɨ̀,tɛ́,tə́,tə̀,tɑ́,ɗɔ̀,ɗwɑ́t,ɗót
100,good,hĩ̌,ɥ̥ĩ́ɥ̥ĩ̀w,nɑ́lɑ̀ŋ,ɲîn,ɲîn,mɑ̀ɗíŋ,mɑ́ʔín,ɲínɑ̀,ɲínɑ́,ɲí(nɑ́)
101,gourd,lɑ̀,kù,gɨ́w,kūlūk,kúlùk,kùlùk,kúlùk,kúlùk,d͡ʒɑ̀ɾɑ̀,d͡ʒɑ̀ɾɛ̀
102,grass,hṳ̄,vù,gù,bā,gūk,gùk,kâ,kɑ́,kâ,kɑ̂
103,gray hair,swĩ́,fĩ̀,ʒɑ̀ŋkú ɑ́ vɨ̃̀,fī,fí,m̩̀̀bù,bū,vūŋ,t͡ʃwé,ʃwe᷇
104,greet,t͡sɑ̄ː,t͡sɑ̤̄,dè,gwə̀mbē,gūm,gūm,gùm,gòm,gùmē,gùm(lí)
105,grind,nə́,nə́,mè,nə̀m,nə́m,nə̀m,nə̀m,nə́m,ném,nə̀m
106,groundnuts,(nɨ́ŋ)t͡sɛ̄ː,nɨ́ŋd͡zɛì,núɥé,gwī,(nɨ́ŋ)gwî,nùŋgwì,nūŋd͡ʒúɾā,ʒùlɑ̀,g͡bɨ̀ɾɛ̄,g͡bɛ̄ɾɛ̄
107,gruel,lō,mɨ̀ŋ ló,mɨ̀ŋ,mɨ̀ndə́m,mɨ̀ndə᷈m,mùŋdə́m,məìdɑ́m,də́m,ɓíjɑ̀,ɓíjɑ̀
108,guinea corn,mwú,mùm,mù,mɨ̀n,nɨ́ŋ mīn,núŋ mìn,jɨ́tā,íʃɑ̀,jā,jɑ̌
109,hair,t͡sɑ̀ː,d͡zɑ̀m,ʒɑ̀ŋkù,bɑ̀(lò),bjə̄ŋ,bjə̀ŋ,bā,ba᷇,fî,fē
110,hand,nāː,nɑ̂,nɑ̀,nɑ́,(də̀ŋ) nɑ́,nɑ́,nāː,nā,nā̤ː,nɑ̤̂
111,he/she (SUB),ò,ù,nə́,ú,ú,ù,nɑ̀,nɑ̀,nə̀,nɑ̀
112,head,kú,kù,jə̀kù,lò,lô,lō,ləū,lō,lō,lô
113,hear,lí,lì,lɑ̀,lî,lɨ́,lɑ̀,lɑ̀ɾɨ́,lɑ́lɛ̄,lɑ́ɾə̀,lɑ́ɾɛ̀
114,heart,twé,t͡swə̀m,ɲínɑ́,lòɲí,zū,zû,dṳ̄,dṳ̀,dú,nígɔ̀
115,heavy,mwí,mwì,mùmù,ɓwə̀ŋdɨ̀ŋ,ɓwēn,ɓùn,ɓínā,ɓínɑ̀,ɓúnə́,ɓùnɔ́
116,her/him,wə̀,wə̀,nə́,wə̀,wù,wù,nɑ̀,na᷇,nə̀,nɑ́
117,hit,g͡bə́,g͡bə́,g͡bɑ́,g͡bə̀b,ɓóp,ɓwɑ̀p,g͡bə́b,g͡bə́ b,g͡bə́b,g͡bə́p
118,hoe,pɨ̃̄,bɨ̀m,bə̀ŋ,gwɑ́mbɑ̀,bə́ŋ,bɨ̀ŋɑ̀,dūp,dōp,dɨ́mə́,ʃùkɑ́
119,hole,bwɑ̀,ɓwɑ̀,ɓwɑ́,ɓwɑ̀,ɓwɑ̀,ɓwɑ̀,ɓwɑ̀,ɓwɑ̀,ɓwɑ̀,ɓwɑ᷅
120,honey,(ɲwì)twə́ŋ,mɨ̀ŋt͡swə̀ŋ,cwə́ŋ,swə̀ŋ,mùŋsɔ̀ŋ,sɔ̀ŋ,məítʌ̀ŋ,məìtə́ŋ,tē,ɲwìnɔ̄nɔ̀
121,horn,d͡ʒí,ɗì,lòɓì,ɓí,ɓí,ɓì,ɓi᷇,ɓí (kə̀p),ɓɔ̄k,ɓwɛ́k
122,hundred,ŋwúm̥mɨ̀,hùn ɥ̥ĩ̂,jə̀ŋnɨ̀ŋnɑ̀ɲù,gɨ́ɾɑ̀ɾɑ̀b,zɨ̀m ɲú,ðìmnú,fɑ̀núwòb,fɑ̀ːnúwòp,t͡ʃúsɔ́b,fɑ́nɔ̂b
123,hunt,d͡zwíhṳ̄,ɗwìɓɨ̀ŋvù,lò,wɛ̄gúk,t͡swòwégūk,nùŋkə́bì,gɑ̌bō,ɗìjē,gɑ́pēn,nɛ̀kɑ̂
124,husband,bwū,ɓù,ɓì,ɓɛ̄,ìɓēgwē,ɓə́m,ɓəì(mɨ̀),ɓē,lɨ́bə̄,ɓɛ̄(mì)
125,hyena,t͡swí,t͡ʃwî,tù,zə̀zū,zɔ̀zū,zwɑ́tù,nâdūmlɨ̀,dɨ́ɓə̀,ɲwɑ́ɾɨ́kìm,d͡ʒɑ̀d͡ʒú
126,I,ǹ̩,ǹ̩,ǹ̩,ǹ̩,ɓə̀ŋ,ǹ̩,mə́,nì,mɛ̄,mì
127,kill,jə̀,j̥ə̀,θə̀,zə̀p,zə̀p,ðə̂p,wə̀b,wòp,wə̀b,wòb
128,king,ívə̀,jìvə́,kú,jìgwɛ̂,jɨ̀gwē,jɨ̀gwəì,gūb,gṳ̄b,gwə̀b,gúb
129,knee,d͡zwə́ŋ,ɗwə̀ŋ,lòjɑ̀ŋ,ƙə́ŋ,ŋwɑ̀zìɥɑ́ŋ,ŋwɑ̀lwə́ŋ,nwālwə̀ŋ,lɔ̀k,ɲwɑ́lɔ́k,lɔ̀k
130,knife,ɥ̥ɑ̀,ɥ̥ə̀m,θɑ̃́,swèn,swēn,swɑ̀n,ɓì,ɓí,tɔ́lɔ́,tɔ́lɔ́
131,know,jí,íbɨ̀,ǹ̩jē,í,ɨ̌ŋ,ìbəí,íɾɑ̀,ílɑ̀ (nɛ̄),ɛ́ɾɛ́ (ʃɔ̄),ɛ́ɾɛ̄
132,laugh,mə́,mə̀m,mɨí,mə́m,mə̌m,mə̀m,mə̀m,mə́m,mə́m,mə́m
133,leaf,jə̀ŋ,jə̀ŋ,jə̀ŋ,jɔ̀k,jə̀ŋ,jə̀ŋ,jə́ŋ,ɲə̀ŋ,jə̀ŋ,jə̌ŋ
134,left (side),mì,mì,mɨì,mɛ̄,mɛ̄,məì,məī,mɑ̀lɛ̀,mɑ́ɾə̀,mɛ̄
135,leg,kə́pū,kə́bù,kə́bò,bō,bō,bò,bō,vò,vō̤,vō̤
136,lie (down),lwé,lweì,ləú,ló,lǒ,ló (swɑ̀),lʌū,ləú,ləú,ləú
137,lift (v),t͡ʃə̃̀,kwɑ́ɗɑ̀ɗɨ̀,ɓò,lē,ɲìm,ləìjí,pɨ̀,ʃə́ (lɑ̀),ʃɨ́lə̀,kíɗɑ̀(lɛ̄)
138,light (not heavy),jéfɨ́ləŋ,jē,mùŋ̩́,wènɾû,jēb,ɓwɑ̀nú(jə̀bí),jə̀blɨ̀,jə́blɛ̄,ɓùnóbɔ̀,jə̀blɑ́
139,lion,ɥɑ̤̄,ɥ̥ɑ̤̀ː,zwɑ̀,zwā̤,zwɑ̀,zwɑ̀,zwà̤,d͡ʒwā̀,d͡ʒwē̤,nùŋbēdə̀ŋə̀
140,live (at),kú (lè),kú,nə́wù,kú,ə̀,ə̀,ɓù (lɨ́),wù (cí),wú (lè),ú (lí)
141,live (be alive),kú (lə̀),ù lə̀,nə́ɗí,kú,hɨ̀ (lə̀),ù (θə̀),nə̀dɨ́,wṳ̀ (dɛ́),,nɑ́n
142,liver,ɲíɲí,nìnì,ɲì,ɲwíɲwí,ɲí,ɲi,ɲí,ɲí,ɲí,ɲi᷇
143,locust bean tree,d͡zwìsɔ̀tɔ́,kə́ɗwìj̥ɛ̃̄,kə́jí,ɗwí,ɗwí (kə̀p),(kə̀p)lwí,l̪wəī,lwəī,mɛ̄ʃɛ̀,mɛ̄ʃɛ̀
144,long,fĩ̄,vĩ̄(lə̀),ŋùŋwì,gwɛ̀n,gwēn,ɑ́ gónì,d͡ʒúnā,d͡ʒúnā,g͡bɨ́nə́,g͡bɛ̀nɛ́
145,maize,íʍɛ̃̀,mɨ̀ŋkwɛ̃̀,mìcĩ́,kũ̀nɑ́,mūŋkúnɑ̀,mìŋkúnɑ̀,jɨ̀ɾɑ̀kwâŋ,g͡bɨ́g͡bɑ̀nì,jə́bô,jɑ̀ɓô
146,man,íbwì,jìbwî,nìmɓì,jǔ,ìɓé,lìɓeí,lɨ́bəì,lɨ́bəī,lúbɨ̀,líɓɛ̄
147,many,íj̥ã̀nɨ̂ŋ,k͡pɑ̃̀lə́,bɨ́bəì,k͡p̥ã̀lɛ̌,k͡pã̄,k͡pɑ̃̀díŋ,lɨ̀k͡pã̄lì,ɗə̀ŋɑ̀,wé (dɑ̀mə̀jɛ̀),wě
148,me,mì,mì,mì,ɓə̀ŋ,ɓə̀ŋ,mì,mə̀,mì,mì,mɪ̀
149,meat,j̥ə̃́,ɥ̥ə̃́m,ɲē,ɲə̌,ɲə̌m,ɲə́m,ɲə̀m,ɲə́m,ɲə́m,ɲə̂m
150,metal,bī,ɓì,ɓwí,ɓwí,ɓwí,ɓwí,bí,bí,bìp,bít
151,millstone,ɲí,nì,ɲwɑ̀ɲwì,ɲí,ɲí,ɲí,ɲí,ɲí,ní,nî
152,moon/month,ìɥ̥ĩ́,fíɥ̥ìm,fĩ̀,fī,fí,fî,pi᷇,píː,pí,pǐ
153,mortar,t͡swā,d͡zwə̀m,ìdəù,zwēn,vèn,zwɑ̀n,də̀ːn,dɑ̀n,dɑ̀n,ʃî
154,mosquito,d͡ʒɑ́,ɗjɑ̀,jɑ̀,bjɑ̀,ɓjɑ́,ɓjɑ̀,ɓē,ɓē,ɓɛ́,ɓɛ́
155,mother,nɑ̌,nɑ́,nɑ̀,nɛ̂,nâ,nɑ̂,nâ̤,na᷇,ní,nɑ̂
156,mountain,té,teì,təì,tə̀l,tɑ̃́l,tɑ̀l,tə́l,tɑ̀l,tɑ́l,kwʊî
