ID,Name,Glottocode,Glottolog_Name,Macroarea,Latitude,Longitude
Jenjo,Jenjo,dzaa1238,Dza,Eastern Nigeria,9.27,11.39
MungaDosso,Munga Dosso,ming1254,Mingang Doso,Eastern Nigeria,9.26,11.29
Tha,Tha,thaa1239,Tha,Eastern Nigeria,9.21,11.18
Kyak,Kyãk,kyak1243,Kyak,Eastern Nigeria,9.52,11.28
Moo,Moo,mooo1239,Moo,Eastern Nigeria,9.44,11.2
Lelau,Lelau,leel1242,Leelau,Eastern Nigeria,9.29,11.16
Mak,Mak,makn1235,Mak (Nigeria),Eastern Nigeria,9.37,11.13
Maghdi,Maghdi,magh1238,Mághdì,Eastern Nigeria,9.29,11.02
Loo,Loo,looo1238,Loo,Eastern Nigeria,9.41,11.05
Burak,Burak,bura1271,Burak,Eastern Nigeria,9.49,11.07
