Grapheme	IPA	Frequence	Codepoints
n	n	520	U+006e
ŋ	ŋ	500	U+014b
m	m	438	U+006d
l	l	423	U+006c
ə̀	ə̀/ə	371	U+0259 U+0300
ɑ̀	ɑ̀/ɑ	359	U+0251 U+0300
í	í/i	347	U+00ed
b	b	343	U+0062
k	k	342	U+006b
ì	ì/i	317	U+00ec
ú	ú/u	238	U+00fa
t	t	237	U+0074
ɑ́	ɑ́	236	U+0251 U+0301
ə́	ə́/ə	234	U+0259 U+0301
ù	ù/u	230	U+00f9
j	j	222	U+006a
ɓ	ɓ	193	U+0253
ɨ̀	ɨ̀/ɨ	187	U+0268 U+0300
ə	ə	147	U+0259
ē	ē/e	142	U+0113
ɨ́	ɨ́/ɨ	142	U+0268 U+0301
ɾ	ɾ	137	U+027e
p	p	133	U+0070
d	d	129	U+0064
w	w	119	U+0077
g	g	111	U+0067
f	f	109	U+0066
ɲ	ɲ	102	U+0272
ū	ū	98	U+016b
ɛ̄	ɛ̄/ɛ	97	U+025b U+0304
ɗ	ɗ	88	U+0257
ɔ̀	ɔ̀/ɔ	88	U+0254 U+0300
v	v	87	U+0076
ī	ī/i	75	U+012b
ò	ò/o	74	U+00f2
_	+	73	U+005f
_$	NULL
^_vi_̀	v i
^_	NULL
ow	ou
hw	hʷ
Ɂd	ˀd
^*k-hneᴬ	k Ø/ə + hn/n̥ e ᴬ/⁵⁵
s	s	70	U+0073
ʃ	ʃ	70	U+0283
é	é/e	65	U+00e9
z	z	57	U+007a
d͡ʒ	dʒ	57	U+0064 U+0361 U+0292
ó	ó/o	55	U+00f3
î	î/i	55	U+00ee
kw	kʷ	53	U+006b U+0077
ɛ̀	ɛ̀/ɛ	51	U+025b U+0300
ɓw	ɓʷ	49	U+0253 U+0077
ɥ	ɥ	45	U+0265
ɔ́	ɔ́/ɔ	44	U+0254 U+0301
t͡ʃ	tʃ	43	U+0074 U+0361 U+0283
ɥ̥	ɥ̥	42	U+0265 U+0325
ō	ō/o	42	U+014d
sw	sʷ	36	U+0073 U+0077
ā	ā/a	34	U+0101
