ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Region
Jenjo,Jenjo,dzaa1238,Dza,jen,Africa,9.27,11.39,Atlantic-Congo,Eastern Nigeria
MungaDosso,Munga Dosso,ming1254,Mingang Doso,mko,Africa,9.26,11.29,Atlantic-Congo,Eastern Nigeria
Tha,Tha,thaa1239,Tha,thy,Africa,9.21,11.18,Atlantic-Congo,Eastern Nigeria
Kyak,Kyãk,kyak1243,Kyak,bka,Africa,9.52,11.28,Atlantic-Congo,Eastern Nigeria
Moo,Moo,mooo1239,Moo,gwg,Africa,9.44,11.2,Atlantic-Congo,Eastern Nigeria
Lelau,Lelau,leel1242,Leelau,ldk,Africa,9.29,11.16,Atlantic-Congo,Eastern Nigeria
Mak,Mak,makn1235,Mak (Nigeria),pbl,Africa,9.37,11.13,Atlantic-Congo,Eastern Nigeria
Maghdi,Maghdi,magh1238,Mághdì,gmd,Africa,9.29,11.02,Atlantic-Congo,Eastern Nigeria
Loo,Loo,looo1238,Loo,ldo,Africa,9.41,11.05,Atlantic-Congo,Eastern Nigeria
Burak,Burak,bura1271,Burak,bys,Africa,9.49,11.07,Atlantic-Congo,Eastern Nigeria
